game_id,date,home_team,home_score,away_team,away_score,win_score,lose_score,win_team,lose_team,win_points,lose_points,win_point_diff,lose_point_diff
2866,2018-11-21,Equatorial Guinea,1,South Africa,7,7,1,South Africa,Equatorial Guinea,1446,1421,25,-25
2867,2018-11-21,Tahiti,5,Samoa,5,5,5,Tahiti,Samoa,1238,1138,100,-100
2868,2018-11-21,New Caledonia,2,Papua New Guinea,6,6,2,Papua New Guinea,New Caledonia,1473,1252,221,-221
2869,2018-11-22,Tonga,0,Fiji,12,12,0,Fiji,Tonga,1286,1258,28,-28
2870,2018-11-22,New Zealand,6,Cook Islands,0,6,0,New Zealand,Cook Islands,1810,1185,625,-625
2871,2018-11-23,Ghana,1,Cameroon,1,1,1,Ghana,Cameroon,1503,1478,25,-25
2872,2018-11-23,Algeria,2,Mali,3,3,2,Mali,Algeria,1232,1294,-62,62
2873,2018-11-24,Equatorial Guinea,0,Nigeria,6,6,0,Nigeria,Equatorial Guinea,1607,1421,186,-186
2874,2018-11-24,South Africa,1,Zambia,1,1,1,South Africa,Zambia,1446,1053,393,-393
2875,2018-11-24,Papua New Guinea,3,Tahiti,1,3,1,Papua New Guinea,Tahiti,1473,1238,235,-235
2876,2018-11-24,New Caledonia,2,Samoa,0,2,0,New Caledonia,Samoa,1252,1138,114,-114
2877,2018-11-25,Tonga,1,Cook Islands,0,1,0,Tonga,Cook Islands,1258,1185,73,-73
2878,2018-11-25,Fiji,0,New Zealand,10,10,0,New Zealand,Fiji,1810,1286,524,-524
2879,2018-11-27,Cameroon,0,Nigeria,0,0,0,Cameroon,Nigeria,1478,1607,-129,129
2880,2018-11-27,South Africa,2,Mali,0,2,0,South Africa,Mali,1446,1232,214,-214
